Vorname,Anzahl,Geschlecht,Jahr,Bezirk
Asya,6,w,2014,charlottenburg-wilmersdorf.csv
Flora,6,w,2014,charlottenburg-wilmersdorf.csv
Jolie,6,w,2014,charlottenburg-wilmersdorf.csv
Livia,6,w,2014,charlottenburg-wilmersdorf.csv
Madeleine,6,w,2014,charlottenburg-wilmersdorf.csv
Maryam,6,w,2014,charlottenburg-wilmersdorf.csv
Miriam,6,w,2014,charlottenburg-wilmersdorf.csv
Noemi,6,w,2014,charlottenburg-wilmersdorf.csv
Olivia,6,w,2014,charlottenburg-wilmersdorf.csv
Rebecca,6,w,2014,charlottenburg-wilmersdorf.csv
Selin,6,w,2014,charlottenburg-wilmersdorf.csv
Yara,6,w,2014,charlottenburg-wilmersdorf.csv
Zeynep,6,w,2014,charlottenburg-wilmersdorf.csv
Antonio,6,m,2014,charlottenburg-wilmersdorf.csv
Carlo,6,m,2014,charlottenburg-wilmersdorf.csv
Deniz,6,m,2014,charlottenburg-wilmersdorf.csv
Dieter,6,m,2014,charlottenburg-wilmersdorf.csv
Eric,6,m,2014,charlottenburg-wilmersdorf.csv
Jason,6,m,2014,charlottenburg-wilmersdorf.csv
Kaan,6,m,2014,charlottenburg-wilmersdorf.csv
Karim,6,m,2014,charlottenburg-wilmersdorf.csv
Lennard,6,m,2014,charlottenburg-wilmersdorf.csv
Luka,6,m,2014,charlottenburg-wilmersdorf.csv
Magnus,6,m,2014,charlottenburg-wilmersdorf.csv
Nikolaus,6,m,2014,charlottenburg-wilmersdorf.csv
Philip,6,m,2014,charlottenburg-wilmersdorf.csv
Said,6,m,2014,charlottenburg-wilmersdorf.csv
Viktor,6,m,2014,charlottenburg-wilmersdorf.csv
Aaliyah,5,w,2014,charlottenburg-wilmersdorf.csv
Aleyna,5,w,2014,charlottenburg-wilmersdorf.csv
Alice,5,w,2014,charlottenburg-wilmersdorf.csv
Alicia,5,w,2014,charlottenburg-wilmersdorf.csv
Anastasia,5,w,2014,charlottenburg-wilmersdorf.csv
Anni,5,w,2014,charlottenburg-wilmersdorf.csv
Aurora,5,w,2014,charlottenburg-wilmersdorf.csv
Barbara,5,w,2014,charlottenburg-wilmersdorf.csv
Dorothea,5,w,2014,charlottenburg-wilmersdorf.csv
Edda,5,w,2014,charlottenburg-wilmersdorf.csv
Edith,5,w,2014,charlottenburg-wilmersdorf.csv
Elin,5,w,2014,charlottenburg-wilmersdorf.csv
Estelle,5,w,2014,charlottenburg-wilmersdorf.csv
Felicia,5,w,2014,charlottenburg-wilmersdorf.csv
Feline,5,w,2014,charlottenburg-wilmersdorf.csv
Fritzi,5,w,2014,charlottenburg-wilmersdorf.csv
Gabriele,5,w,2014,charlottenburg-wilmersdorf.csv
Helen,5,w,2014,charlottenburg-wilmersdorf.csv
Irma,5,w,2014,charlottenburg-wilmersdorf.csv
Iva,5,w,2014,charlottenburg-wilmersdorf.csv
Jasmin,5,w,2014,charlottenburg-wilmersdorf.csv
Jule,5,w,2014,charlottenburg-wilmersdorf.csv
Julie,5,w,2014,charlottenburg-wilmersdorf.csv
Lilith,5,w,2014,charlottenburg-wilmersdorf.csv
Lilly,5,w,2014,charlottenburg-wilmersdorf.csv
Alfred,5,m,2014,charlottenburg-wilmersdorf.csv
Luzie,5,w,2014,charlottenburg-wilmersdorf.csv
André,5,m,2014,charlottenburg-wilmersdorf.csv
Malou,5,w,2014,charlottenburg-wilmersdorf.csv
Antonius,5,m,2014,charlottenburg-wilmersdorf.csv
Mara,5,w,2014,charlottenburg-wilmersdorf.csv
Artur,5,m,2014,charlottenburg-wilmersdorf.csv
